"Key","Value"
"3880d83d-ba2c-478c-afc0-d8767c6c5fa0","ELS Apprentice Ceramic Substrate Production"
"daba844c-1742-47c8-9d8d-8bf4b848930c","SRMW_Intune_Win_Devices_DEMAB"
"42bf9d3d-b6ae-4c01-a99d-171cdc4ac766","ELS PER VERKAUF_012_NICE TO KNOW R"
"389ef1db-16f4-4ceb-86d0-e50c06836f11","ELS PER ELSSVABACUS1 ABACUS_HERKFGZ RW"
"1aa2aa7b-e4c5-4c35-92a9-0654578aa529","ELS PER ORGANISATION R"
"4d97abab-5b6a-4dc6-a177-62faca70809c","ELS PER ORGANISATION_IT_Docs R"
"cc158c02-6311-4f2a-a888-23bf65da39ff","ELS Function all Department Heads"
"6afe2655-debf-4b13-8752-dbe5c11746de","ELS PER ORGANISATION_Management_100CSO R"
"1e7a9652-8d3a-4943-9095-b9173a5c09f1","ELS PER TECHNIK_Labor_03Feldmess-Projekte RW"
"2dbb484b-e3bc-4e2e-909b-bb8863aa7e80","ELS PER ORGANISATION_Qualit?tsundUmwelt_Umwelt RW"
"d88f0a84-e665-4db0-9e3b-fceacb39e1ee","ELS Function Executive Board HECH"
"17d73bdd-085f-4d11-9d4a-44a804558941","ELS SP_Abteilungs-Seiten_InformationTechnology_Migration RW"
"36eae8ea-dc76-46f7-a9e9-0f9ddcbc9a80","TEST Company TESTCOMPANY1"
"a8f3eaa6-b8e6-4591-8500-d80927fbfaa6","ELS SP_Abteilungs-Seiten_Produktion R"
"a1da0046-6505-423f-8978-31fa07eded98","ELS PER TECHNIK_Elektro_Messen RW"
"3296d446-1d66-4c71-9563-a0df306d8caa","BAV Function AFO-FAU"
"b05aac35-77cd-424d-aef4-65d652697504","ELS FunctionHead Corporate Finance"
"fc75e66f-e2e3-4ae3-8f8c-bd990ea61f81","ELS PER VERKAUF_007_KONKURRENZ R"
"7b4611d9-cd09-4f13-b8ca-4e36d52025cc","ELS Function all ManagingDirectors"
"707f775e-2b66-4c0d-979a-7070b2832edf","ELS Department Mechanical Engineering"
"91a15337-cb75-42c1-abeb-ffd9b3b41401","ELS PER ORGANISATION_Finanzen_MWSTRevision2020 R"
"f1fcbee5-8343-4ef0-8430-edb2779d9007","ENS PER DEPT_Images RW"
"ba09f59b-5112-4962-a766-f3f4ed70d15a","ELS PER TECHNIK_Elektro L"
"201e53f8-b589-43c9-8c3e-3b31a5b35d89","ELS Calendar Read Access"
"278c7e66-7eb7-4348-956c-acb5b5923e92","ELS PER ORGANISATION_Administration_IT R"
"8e51ac2d-3481-40ff-b992-179a527b6a46","ENS Share Stationary RW"
"dd42d374-da61-43c9-9ca1-a003acfb5a84","ELS APP Productstream Admin"
"0c00e5a9-92ab-4f83-b0ed-ccdde8687a09","ELS PER TECHNIK_Elektro_Anlagen_bis_2001 RW"
"bba8fca9-51ef-4bdb-a4c8-5d1930e408e6","Sunrise Migration Project"
"06462356-61d6-4a64-9e00-5793116145a6","WW HUG Global Human Resources"
"8a1b54bb-74b0-4c37-8f3e-1a18ff37446c","ELS PER APPLICATION_SSD_Source RW"
"91ba1282-cd8a-4bfd-b9e6-8f7705a123c9","ELS PER ORGANISATION_Qualit?tsundUmwelt_Messmittel R"
"fa9ed933-25fc-4f86-9f5c-cb6280ec9090","ENS PER DEPT_Management_Oud RW"
"58c2b354-656d-40a9-8673-c33ee00e3454","ELS OLD Entwicklung"
"b032897e-97b1-4ba0-a7eb-48bfef325cd4","ELS PER TECHNIK_Elektro_BTC R"
"ed79d81c-ebd1-4e52-b505-ce3320287c38","ELS PER TECHNIK_Labor_31Audits R"
"05f2e670-882f-462c-838a-03a66c5b884d","ELS Share ELSSVABACUS1 ABACUS"
"29a15fcd-bb2c-4a1e-bdeb-1e53df1b7ab7","ELS PER ORGANISATION_Einkauf_01Procurement Management R"
"03d33263-2257-42c4-8d72-3731fcf879b2","ELS Sanit?tsgruppe"
"d60ae2de-9608-4af9-a06c-77840e93b400","ELS Department Entwicklung Systeme"
"c0776795-418d-4e19-aa69-55ce1161d703","ELS PER ORGANISATION_Einkauf_02ProjectExecution R"
"84c12e4e-674b-4f6c-9adf-82320944482b","ELS SP_Abteilungs-Seiten_Verkauf_Internal Sales Page RW"
"4f975ea2-c121-49d1-8777-f3eb7bb64140","WW HUG Global Finance"
"d39fa311-6c43-4f14-8222-bc36cafa1314","ELS PER VERKAUF_003_OFFERTEN_002_Datenbl?tter f?r Offerten RW"
"c204e76b-7086-44d5-834c-b462bba2867d","ELS SP_Abteilungs-Seiten_Personal RW"
"54ded5d2-de04-4323-9b94-e355d545ef17","ELS PER TECHNIK_RnD_Corona RW"
"cca4554b-44d6-46eb-9f16-6dd87de02715","ELS PER TECHNIK_TechnBerechnungen_13_LAYOUT_FILTER_EPU RW"
"dcb87129-19d4-4ee5-bd43-3ba915dd8ba0","ENS PER DEPT_Management_Auditjenbacher2012 R"
"be9f8c64-4d60-4000-b27a-436c42bb4ed2","ELS PER ORGANISATION_HHPBoard_010HHPBM R"
"281a59a4-15fd-4583-9f24-f3940c6022f7","GLB LIC M365 Business Premium and Teams Phone"
"0c7a0ba2-833f-4d53-b3bd-225df99b28c2","ELS PER TECHNIK_Productline_03LifecycleManagement R"
"c9755702-ff9e-493e-bcc0-f72abd49ed25","ELS Apprentice Apparatus Production"
"3ab4dadc-32fc-4ff1-b5fc-c69cbfcb1f40","ELS PER TECHNIK_TechnBerechnungen_10_AUSLEGUNG_ANLAGEN RW"
"1651d2c4-77ec-4a32-9b51-f77212f22d3a","SRMW_Intune_Win_User_Normal-DEMAB"
"b3fc637a-20d0-4d4f-9acd-6f090e382a64","ELS SP_ICBP_HECH R"
"263d9d38-8874-4d4d-b3cd-a0d78a639a4b","ELS Department Finanzen"
"383db0bf-60fd-47d0-910a-6dbd79dc4870","ENS PER DEPT_Management_101Algemene zaken R"
"93e12e5d-b316-40d6-949f-12fece6db9f4","ELS PER APPLICATION_Keytech R"
"1be4094c-6dcf-454c-84a8-904a3c41420c","ELS OLD Hug-Administration"
"43dddd4f-506d-48bf-a64d-265c07177fbe","MAG Users HTTP-Proxy Access"
"d27e8c30-d28e-4e71-90ad-c326dd124e60","ELS PER TECHNIK_02_Entwicklungsprojekte RW"
"2d91eebd-4e69-45a1-9092-e6ed1ffc4cbd","ELS PER TECHNIK_Labor_33Strategy RW"
"9d4f16b7-c598-4a26-a7b0-200b7de853f4","ELS PER APPLICATION_TIM R"
"b6f5f068-b77d-4745-aa74-946ac65c30cb","MAB Function ManagingDirector HEDE"
"00e90a4f-c5a1-4f04-9808-3e412d39b40a","ELS OLD Verfahrensentwicklung"
"5ae4530b-851a-4638-8de2-3839d7008f37","ELS PER TRAINING_6_HSE_MonthlyTrainings RW"
"f1627f24-bbfc-4a5d-8891-4b4c56d593e0","ENS Function AFO-NL"
"4be458e1-b493-4c78-a121-bb37c4c8e7a7","ELS PER TECHNIK_Labor_20Sitzungen R"
