"id","type","name"
"7c560f24-65f9-49e1-aabd-e01477528611","#microsoft.graph.win32LobApp","FreeMind"
"6372ee38-6c04-475c-b647-1159532b2fb1","#microsoft.graph.win32LobApp","Freshservice Discovery Agent"
"2ac266f7-a59a-464e-8f6a-3c851a1c9bf1","#microsoft.graph.managedIOSStoreApp","Freshservice for Intune"
"6a42631c-cbd0-47fa-8147-b6180337cd21","#microsoft.graph.managedAndroidStoreApp","Freshservice for Intune"
"a8bbd804-c699-4f2d-a4e8-58770389b2b6","#microsoft.graph.managedIOSStoreApp","Fuze Mobile for Intune"
"48ca5392-df1f-4fde-be1e-a7ce3e10c5f6","#microsoft.graph.managedAndroidStoreApp","Fuze Mobile for Intune"
"0ad28a8d-6238-4436-a533-da1cb2b3d849","#microsoft.graph.win32LobApp","GIMP"
"960e473b-35a5-4544-ac41-88b4e2a6dc5e","#microsoft.graph.managedAndroidStoreApp","Global Relay"
"a46aefc4-b338-425e-8472-986a7de47d71","#microsoft.graph.managedIOSStoreApp","Global Relay"
"72d9dcff-05f7-4a15-bdd2-ed4d84f574eb","#microsoft.graph.win32LobApp","Gnatt Project"
"8b2d5705-1844-4e27-9d4a-8de87e8f98e6","#microsoft.graph.managedIOSStoreApp","Goodnotes 6"
"8d3aa554-e83e-4e99-b468-e98f2d275936","#microsoft.graph.win32LobApp","Google Chrome"
"d0d47bc6-fa80-4847-8b4b-982e6bbec92a","#microsoft.graph.win32LobApp","Greenshot"
"e9c0ac42-c01b-4b8d-b45e-581e63bd8fd8","#microsoft.graph.managedAndroidStoreApp","Groupdolists"
"84b20e52-c54b-4c72-8601-f92ecc17bbbb","#microsoft.graph.managedIOSStoreApp","Groupdolists"
"2fed652a-b1ad-4cdc-b184-62d0ac1dda55","#microsoft.graph.managedIOSStoreApp","HCSS Field"
"fdbebdf5-48bc-46bc-82fb-bb05af7b5682","#microsoft.graph.managedIOSStoreApp","HCSS Plans"
"ee6dfbc6-ae16-4cb6-92a8-51c008021657","#microsoft.graph.managedAndroidStoreApp","Hearsay Relate for Intune"
"7c7e7539-9bd3-46ae-9f8f-fc2aaa447ab5","#microsoft.graph.managedIOSStoreApp","Hearsay Relate for Intune"
"925ec0a3-2c03-4e63-afc0-34d63e6f5419","#microsoft.graph.winGetApp","HEIF Image Extensions"
"1bb7941e-672e-4c75-bf44-319ee117569c","#microsoft.graph.managedAndroidStoreApp","Hey DAN for Intune"
"56cbac71-85ce-49bb-919d-aa9dac5c91c8","#microsoft.graph.managedIOSStoreApp","Hey DAN for Intune"
"497782fa-baeb-48a2-a6f4-1d815884563f","#microsoft.graph.managedIOSStoreApp","HowNow"
"98d28212-40be-4019-b653-562273c6f2d0","#microsoft.graph.managedAndroidStoreApp","HowNow"
"7f603125-288d-473c-b5b8-220df1096029","#microsoft.graph.managedAndroidStoreApp","HP Advance for Intune"
"bb481bda-b266-48a1-9c8e-949905ebcc00","#microsoft.graph.managedIOSStoreApp","HP Advance for Intune"
"40e0e394-54d8-4a26-b762-fee3a82dcf83","#microsoft.graph.managedIOSStoreApp","iAnnotate for Intune / O365"
"a79f0e5b-04f7-499f-accf-2e599f41edf9","#microsoft.graph.managedIOSStoreApp","iBabs For Intune"
"b9026791-45a0-4a9e-9e5b-002375537fdb","#microsoft.graph.managedAndroidStoreApp","Idenprotect Go"
"b4a042f9-4671-42f8-8f0c-dc9312730531","#microsoft.graph.managedIOSStoreApp","Idenprotect Go"
"fb572df0-2623-4dcd-b33b-25e1a3c695a3","#microsoft.graph.managedIOSStoreApp","iManage Work 10 For Intune"
"4871dcb0-e7f7-493e-a22f-418b3312d9b4","#microsoft.graph.winGetApp","iMazing Converter for HEIC and HEVC"
"f6814bf3-5c2c-457f-b5f3-e49bb588ea0f","#microsoft.graph.managedIOSStoreApp","Incorta (BestBuy)"
"5d08db10-d538-43d0-bee3-016ce48b8fb4","#microsoft.graph.managedIOSStoreApp","Intapp 2.0"
"a7348791-09a4-4e99-8d40-15eee61418fb","#microsoft.graph.managedIOSStoreApp","IntraActive"
"99cd33e9-aebd-4ed2-a5eb-44029fd9793e","#microsoft.graph.managedAndroidStoreApp","IntraActive"
"e9698e42-c705-4895-98ae-3ea41f0c6de3","#microsoft.graph.iosStoreApp","Intune Company Portal"
"79ca544e-85dc-46b1-bf35-e9c5054e17b0","#microsoft.graph.androidManagedStoreApp","Intune Company Portal"
"ac17910d-f836-4b9b-9a3f-30ca83d22617","#microsoft.graph.managedIOSStoreApp","ISEC7 MAIL for Intune"
"c20e2afb-47fb-45f3-8728-79d374526c80","#microsoft.graph.managedAndroidStoreApp","ISEC7 MAIL for Intune"
"04540296-43b0-4150-87c3-0197de637549","#microsoft.graph.managedIOSStoreApp","ISEC7 Mobile Exchange Delegate"
"0a037ee4-ff47-42a1-b9e9-921b6aaea0c6","#microsoft.graph.managedIOSStoreApp","Island Enterprise Browser"
"2b5f638f-0c04-4909-bdc6-484ea107416c","#microsoft.graph.managedIOSStoreApp","ixArma 6"
"75759cad-5d0b-4013-b9db-5480a3534df1","#microsoft.graph.managedAndroidStoreApp","ixArma 6"
"43fc2bf0-b1f9-431d-bbc7-dac75cd646bc","#microsoft.graph.win32LobApp","Jabra Direct"
"e646af6a-026b-4502-b198-8b42b2290a7c","#microsoft.graph.winGetApp","JT2Go Desktop"
"b8c18a3b-3d3f-4d55-88e6-9f38a8165904","#microsoft.graph.win32LobApp","KeePass"
"c7618916-d663-465d-ad01-f59b6bc2e0de","#microsoft.graph.managedIOSStoreApp","KeePassium for Intune"
"fedc6e2b-2180-452e-bb1b-3eea075805fc","#microsoft.graph.win32LobApp","KeyTech"
"e581d130-0e2d-4007-9d54-fe7e46bfd2c9","#microsoft.graph.managedIOSStoreApp","Klaxoon for Intune"
"aae53f63-9dda-4bfc-b1d5-d68969f8c62b","#microsoft.graph.managedIOSStoreApp","Kofax Power PDF Mobile"
"f1d37c5e-d496-4ea5-9053-108c64005584","#microsoft.graph.managedIOSStoreApp","Leap Work for Intune"
"0889a6ef-265a-48a1-a4bf-645d47d5b40c","#microsoft.graph.managedAndroidStoreApp","Leap Work for Intune"
"2ab8613d-ffb2-475d-9b11-508880a7210f","#microsoft.graph.win32LobApp","Link Manager"
"9c7359b9-a0a1-4764-9b8e-179051b7aabb","#microsoft.graph.managedIOSStoreApp","LiquidText"
"70d1603f-5bc1-4b93-84ae-2699bbb138e0","#microsoft.graph.managedIOSStoreApp","LumApps for Intune"
"2e8902fd-c7b4-443d-b6a0-6baabc5f987a","#microsoft.graph.managedAndroidStoreApp","LumApps for Intune"
"bb4298d8-3db8-4332-aaf5-e870ede9ea2d","#microsoft.graph.androidManagedStoreApp","Managed Home Screen"
"4027e327-72eb-4f33-9550-550c58ccc93e","#microsoft.graph.managedIOSStoreApp","MangoApps, Work from Anywhere"
"fe6a2a55-af9b-4c3a-b8b5-78d1752b87c1","#microsoft.graph.managedAndroidStoreApp","MangoApps, Work from Anywhere"
"4bbd0eeb-5580-4954-afb0-6a82216e6f10","#microsoft.graph.managedIOSStoreApp","Meetings by Decisions"
"a1e2e816-6a30-496b-9f6f-b3ae68216104","#microsoft.graph.managedAndroidStoreApp","Meetings by Decisions"
"a571876f-a49d-485e-8d83-650c3137867c","#microsoft.graph.managedAndroidStoreApp","Meetio"
"3b912b76-5084-4c72-beba-efc0f55a42b0","#microsoft.graph.managedIOSStoreApp","Meetio"
"f33faa63-3b5b-4b28-add9-24d04a939b0d","#microsoft.graph.managedAndroidStoreApp","MentorcliQ"
"6a63d2ee-07be-4fe8-8d10-c9ed4a1c928e","#microsoft.graph.managedIOSStoreApp","MentorcliQ"
"d96de6d8-856f-42f9-b0ac-291a59a5fe0c","#microsoft.graph.managedAndroidStoreApp","M-Files for Intune"
"ed092c80-2f9f-4943-b0eb-8952f85e8a05","#microsoft.graph.managedIOSStoreApp","M-Files for Intune"
"65b56b36-20a9-4c66-a5a7-11532eedc8da","#microsoft.graph.managedAndroidStoreApp","Microsoft 365 (Office)"
"df3b5c6e-2033-44a8-9c4c-3d340aefbd5c","#microsoft.graph.managedIOSStoreApp","Microsoft 365 (Office)"
"95ba7504-cd9a-450c-b837-73de58a9d7c8","#microsoft.graph.androidManagedStoreApp","Microsoft 365 (Office)"
"6c5fbf32-8cfe-4b37-beeb-6a20befb9f7b","#microsoft.graph.managedAndroidStoreApp","Microsoft 365 (Office) (China)"
"de3eacff-0577-4d0a-b796-68ee45bc2d46","#microsoft.graph.managedAndroidStoreApp","Microsoft 365 Admin"
"f79eecdc-98f7-4d1c-82bf-e2d24cb08346","#microsoft.graph.managedIOSStoreApp","Microsoft 365 Admin"
"150efb67-35c9-4aaf-9f9d-5f645ae384ea","#microsoft.graph.officeSuiteApp","Microsoft 365 Apps Business"
"08442e59-cdfa-44bd-b1a8-91d6776f1a6e","#microsoft.graph.iosStoreApp","Microsoft Authenticator"
"715c4c30-2a84-4702-ad19-c5e718cb9a92","#microsoft.graph.androidManagedStoreApp","Microsoft Authenticator"
"f4f26fc9-1c9a-46fa-987c-444e6ecce4de","#microsoft.graph.managedIOSStoreApp","Microsoft Azure"
"f2ed60e0-6d3e-4ad7-a8d0-46fdc4794708","#microsoft.graph.managedAndroidStoreApp","Microsoft Azure"
"e52cc497-e9ae-4241-8d1c-3314a7c1e0ea","#microsoft.graph.managedAndroidStoreApp","Microsoft Connections"
"114bb64e-2f72-4a9e-944e-3c01ba32bd54","#microsoft.graph.managedIOSStoreApp","Microsoft Connections"
"3e477ee2-955c-4141-8207-1eb5083cc605","#microsoft.graph.iosStoreApp","Microsoft Copilot"
"85c1b899-8571-4b8e-82ed-6e2161f43af0","#microsoft.graph.managedIOSStoreApp","Microsoft Copilot"
"b7491d2a-c6e2-46d4-89de-f7cfc2ede441","#microsoft.graph.managedAndroidStoreApp","Microsoft Copilot"
"e5387211-ea34-4b4b-929a-1bd734fbff0f","#microsoft.graph.managedIOSStoreApp","Microsoft Defender Endpoint"
"14a69512-fafa-4f8f-a478-c9f421b6bc14","#microsoft.graph.managedAndroidStoreApp","Microsoft Defender Endpoint"
"4d79d739-6372-4fa2-b2ba-48770fc767ca","#microsoft.graph.managedIOSStoreApp","Microsoft Dynamics 365"
"ab39e2fb-eb60-4f88-acc2-2b66a45acd12","#microsoft.graph.managedIOSStoreApp","Microsoft Dynamics 365 for phones"
"6016f3d3-e33e-47ed-ba1f-f28dc9e01d72","#microsoft.graph.managedAndroidStoreApp","Microsoft Dynamics 365 for phones"
"6b922c04-938e-479b-83d6-3c5553beb45a","#microsoft.graph.managedAndroidStoreApp","Microsoft Dynamics 365 for tablets"
"538a0653-dadb-48f8-a3dc-6f99e2c30f98","#microsoft.graph.managedIOSStoreApp","Microsoft Edge"
"ea10a9db-a9fb-4ea7-94d2-8b7e97800b22","#microsoft.graph.managedAndroidStoreApp","Microsoft Edge"
"dec8b89e-ab49-46fa-bb4e-e5761a602b6c","#microsoft.graph.androidManagedStoreApp","Microsoft Edge: AI browser"
"b5e1cc3b-a696-4e22-b285-4362aa3128ba","#microsoft.graph.iosStoreApp","Microsoft Edge: Web Browser"
"4b810819-9842-471d-8912-1c55c2270ffd","#microsoft.graph.iosStoreApp","Microsoft Excel"
"42402ef7-67ad-4746-bf56-38c3041cae16","#microsoft.graph.managedIOSStoreApp","Microsoft Excel"
"91c14e0e-af6a-42c1-9722-67f5b876b597","#microsoft.graph.managedAndroidStoreApp","Microsoft Excel"
"e0628269-57fc-466c-ad46-ae27f3c8f08b","#microsoft.graph.androidManagedStoreApp","Microsoft Excel: Spreadsheets"
"cb2f15b5-c465-4b45-bed3-ef9c603d6bcc","#microsoft.graph.androidManagedStoreApp","Microsoft Intune"
"21bc5d29-c597-4f5a-bda0-3c8e3981932d","#microsoft.graph.managedAndroidStoreApp","Microsoft Invoicing"
"28c55464-3582-48d9-92f1-c4759e120156","#microsoft.graph.managedIOSStoreApp","Microsoft Invoicing"
"634523f0-a122-4cb8-a506-7b21e20f1de5","#microsoft.graph.managedIOSStoreApp","Microsoft Kaizala"
"8ace6327-1933-44f9-81ad-e6a184f80152","#microsoft.graph.managedAndroidStoreApp","Microsoft Kaizala"
"f1709fc8-bd2c-4ad1-86a8-35b9c5b5d144","#microsoft.graph.managedAndroidStoreApp","Microsoft Launcher"
"ae1037dc-d37d-4af6-83a4-320696bcea5c","#microsoft.graph.managedAndroidStoreApp","Microsoft Lens"
"952c4953-e46a-4a25-a8b9-ce5e07aede32","#microsoft.graph.managedIOSStoreApp","Microsoft Lens"
"66f5f88b-bf9f-405c-8330-24bf8aad59f3","#microsoft.graph.managedIOSStoreApp","Microsoft Lists"
"c73ecec8-ad62-4efc-b0bc-e2d61d33ab3d","#microsoft.graph.managedAndroidStoreApp","Microsoft Lists"
"25174cda-38ea-4b24-a28b-4f1acb95318b","#microsoft.graph.managedAndroidStoreApp","Microsoft Loop"
"90f3d3df-5cae-455e-a8f4-5ce13978f187","#microsoft.graph.managedIOSStoreApp","Microsoft Loop"
"39820084-9f01-44bc-b547-81d59c19ae12","#microsoft.graph.iosStoreApp","Microsoft Office"
"81fb710a-3d22-478a-a0c0-9f96ebd74c71","#microsoft.graph.managedAndroidStoreApp","Microsoft Office [HL]"
"57bdff5a-7c96-46ac-b329-3b888401d14f","#microsoft.graph.managedAndroidStoreApp","Microsoft OneDrive"
"3fa57d79-fb8c-489e-88a2-3d7647cf7d27","#microsoft.graph.iosStoreApp","Microsoft OneDrive"
"e2114e79-0e08-4119-9292-bc5430fa4230","#microsoft.graph.androidManagedStoreApp","Microsoft OneDrive"
"08080b9f-6b8b-45a9-98d2-d564fb3d91f5","#microsoft.graph.managedIOSStoreApp","Microsoft OneDrive"
"a7335444-2a07-490d-a9e5-5d76bc863ec9","#microsoft.graph.managedAndroidStoreApp","Microsoft OneNote"
"da290e40-2a51-49db-b128-acb839d89edc","#microsoft.graph.iosStoreApp","Microsoft OneNote"
"ec264a3d-7472-424e-a48c-db6d333aa5e6","#microsoft.graph.managedIOSStoreApp","Microsoft OneNote"
"69eef830-3f77-4020-8685-f42d1f83adef","#microsoft.graph.androidManagedStoreApp","Microsoft OneNote: Save Notes"
"e4291434-e212-4dfd-855e-3f665754e722","#microsoft.graph.androidManagedStoreApp","Microsoft Outlook"
"1ba47a1b-074f-402b-b711-bde5c1d944e1","#microsoft.graph.managedAndroidStoreApp","Microsoft Outlook"
"cdc5c286-59ad-4c34-8d8f-d97b9f0180af","#microsoft.graph.iosStoreApp","Microsoft Outlook"
"485992b0-7311-4221-afd5-f061c84e6f1f","#microsoft.graph.managedIOSStoreApp","Microsoft Outlook"
"21249bdf-cf23-46f3-90a4-66b8a289e746","#microsoft.graph.managedIOSStoreApp","Microsoft Planner"
"8cd7ba0a-f16c-4568-b5d7-a60dd83bc66b","#microsoft.graph.managedAndroidStoreApp","Microsoft Planner"
"e9095346-31b0-449a-b861-6e9c3a8d5e3f","#microsoft.graph.managedIOSStoreApp","Microsoft Power Apps"
"817758a8-51d2-4168-939a-698c06e6b57e","#microsoft.graph.managedAndroidStoreApp","Microsoft Power BI"
"1544561a-d1b1-42f6-966d-a311dbe5d06b","#microsoft.graph.managedIOSStoreApp","Microsoft Power BI"
