"id","categoryPath","displayName"
"bb25c296-1390-4544-a7b9-7637ec75b07e","\Google\Google Chrome\Default search provider","List of alternate URLs for the default search provider"
"e6c8525a-d953-49b2-bb2d-05a60e118a05","\Microsoft PowerPoint 2016\File Tab\Check Accessibility","Stop checking for alt text accessibility information"
"193e21c1-7d73-4b61-90aa-6724c05bb2e8","\Microsoft Office 2016\Collaboration Settings","Max number of documents being reviewed using 'send for review'"
"e98b9504-cd56-4b0f-96ff-210d53114b3c","\Microsoft Outlook 2016\Security\Automatic Picture Download Settings","Display pictures and external content in HTML e-mail"
"8d6e13b2-39aa-4af6-b372-8d0ce1cc8d2e","\Google\Google Chrome\HTTP authentication","Authentication server allowlist"
"d8749632-58e2-4754-88be-3c73ba77a931","\Google\Google Chrome\Printing","Print Headers and Footers"
"5d33e443-2136-453f-948b-4f096af3eeb1","\Microsoft Edge","Send all intranet sites to Internet Explorer"
"108c3744-f84e-47c3-9822-525ab699e5f9","\Microsoft Edge\Sleeping tabs settings","Configure auto discard sleeping tabs"
"2092b85b-8e92-4c1a-a4ea-fc49bba6078b","\Microsoft Outlook 2016\Outlook Options\Preferences\E-mail Options\Advanced E-mail Options\Desktop Alert","Specify duration of fade in (in milliseconds)"
"905dc370-f058-4137-83f1-f3e369203f9f","\Google\Google Chrome\Content settings","Control use of the File System API for writing"
"775dae9b-b762-42e0-b14e-d082bbe4c87a","\Microsoft Word 2016\Word Options\Security\Trust Center\File Block Settings","Word 2003 and plain XML documents"
"f5715e70-0111-4dba-b1ca-cea012bb3b45","\Microsoft Word 2016\Miscellaneous","Alternate revision bar position in printed document"
"c15f8d1b-145a-4ad9-87d5-422956d1f649","\Google\Google Chrome\Allow or deny screen capture","Allow Window and Tab capture by these origins"
"30162fb6-600d-467d-9dbd-40cea95ecb5b","\Microsoft PowerPoint 2016\PowerPoint Options\Security","Make hidden markup visible"
"29257d91-2ee2-4c30-bfd0-0cbf4aeb38c2","\Microsoft Outlook 2016\Security\Security Form Settings\Programmatic Security","Configure Outlook object model prompt when accessing an address book"
"3d77fa6c-57e5-4a87-bc82-ad75288ac58b","\Microsoft Access 2016\Application Settings\Security\Trust Center\Trusted Locations","Trusted Location #7"
"85153010-00fd-43cb-b683-c091c64d24c9","\Microsoft Office 2016\Privacy\Trust Center","Enable Customer Experience Improvement Program"
"2902e167-c8b0-4205-b465-9746613c2f02","\Microsoft Edge WebView2","HTTP Allowlist"
"b008a1d0-da55-4e06-b5d7-db487c96677a","\Microsoft Office 2016\Security Settings\Trust Center\Trusted Catalogs","Trusted Catalog Location #9"
"46d1e09d-2469-4099-bb1e-423853d58527","\Microsoft Visio 2016\Visio Options\Advanced\Save/Open","Show file save warnings"
"f7a6afbd-f37b-4b4a-9f48-c38bdb4eaa97","\Microsoft Office 2016\Business Data\Synchronization","Set subscription refresh retry interval"
"a5e064f2-f90b-437b-9efd-0513a569e5a6","\Skype for Business 2016\Microsoft Lync Feature Policies","Require logon credentials"
"b204a7ee-5e27-43e9-8321-afae351271f8","\Microsoft Edge","Allow media autoplay for websites"
"3f3358d1-5c74-43dd-8272-5248c4b60d03","\Microsoft Office 2016\Contact Card\Contact Tab","Replace MAPI - Birthday"
"250ccd03-a67f-469c-b881-9f9c1bf87c09","\Microsoft Edge","Disable download file type extension-based warnings for specified file types on domains"
"c761da81-3e7b-4353-9023-3ceb564eac80","\Microsoft Edge","Allow full screen mode"
"771cd70f-b8ff-43c3-a30b-2fae2c6afa13","\Microsoft Word 2016\Word Options\Save","Set default compatibility mode on file creation"
"5b353c46-e28f-48ef-979d-378bfe1e5ff7","\Microsoft Word 2016\Word Options\Advanced","Auto-Keyboard switching"
"c036c7f9-7049-486c-b28f-e5920f70fb36","\Microsoft Edge","Allow sites configured for Internet Explorer mode to open in Microsoft Edge"
"0677a3bd-3f79-4673-b786-c2c7f437d4a1","\Microsoft Edge\Content settings","Allow notifications on specific sites"
